"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.152778518E1,2.998727070E1,3.144171288E1,3.082376432E2,3.252623490E2,7.013187797E-1,2.767078684E2,1.159774354E-1,7.347488105E0,5.588280144E0,-1.000000000E0
7.252778637E1,2.998727286E1,3.144170111E1,3.075286219E2,3.245533176E2,8.717876777E-1,2.751545291E2,1.170462318E-1,7.191280956E0,5.590465339E0,-1.000000000E0
7.352778828E1,2.998727515E1,3.144169033E1,3.079050845E2,3.249297704E2,8.819629212E-1,2.784937513E2,1.181952691E-1,7.130459283E0,5.490397455E0,-1.000000000E0
7.452779043E1,2.998727623E1,3.144167847E1,3.080709561E2,3.250956339E2,9.248012639E-1,2.785462803E2,1.193997659E-1,7.016706088E0,5.217226790E0,-1.000000000E0
7.552779317E1,2.998727820E1,3.144166617E1,3.080328077E2,3.250574756E2,9.932306062E-1,2.732877814E2,1.200806132E-1,6.897771602E0,5.109066856E0,-1.000000000E0
7.652779460E1,2.998727671E1,3.144165931E1,3.083612920E2,3.253859592E2,6.714333972E-1,2.622670703E2,1.210759968E-1,6.733514426E0,5.004540751E0,-1.000000000E0
7.752779710E1,2.998726831E1,3.144166287E1,3.084330941E2,3.254577788E2,3.365430152E-1,2.061424586E2,1.229525623E-1,6.729365229E0,4.943213369E0,-1.000000000E0
7.852779913E1,2.998725533E1,3.144167533E1,3.079151861E2,3.249399014E2,7.052272226E-1,1.536166664E2,1.236846190E-1,6.688367197E0,4.861229133E0,-1.000000000E0
7.952780044E1,2.998725113E1,3.144168118E1,3.078110452E2,3.248357713E2,4.840336137E-1,1.362220280E2,1.239611818E-1,6.536111471E0,4.562359262E0,-1.000000000E0
8.052780354E1,2.998725252E1,3.144167880E1,3.077358415E2,3.247605638E2,1.062620201E-1,1.318683100E2,1.240671707E-1,6.667042556E0,4.523308436E0,-1.000000000E0
8.152780557E1,2.998725334E1,3.144167825E1,3.077398219E2,3.247645424E2,0.000000000E0,1.318683097E2,1.240671707E-1,6.762557351E0,4.358223817E0,-1.000000000E0
8.252780735E1,2.998725334E1,3.144167825E1,3.077398219E2,3.247645424E2,0.000000000E0,1.318683097E2,1.240671707E-1,6.554228966E0,4.069467590E0,-1.000000000E0
8.352780902E1,2.998725334E1,3.144167825E1,3.077398219E2,3.247645424E2,0.000000000E0,1.318683097E2,1.249598594E-1,6.850513226E0,4.115858567E0,-1.000000000E0
8.452781153E1,2.998724592E1,3.144167472E1,3.073563015E2,3.243810341E2,8.481433842E-2,1.318683089E2,1.249975434E-1,6.904607167E0,4.038068692E0,-1.000000000E0
8.552781332E1,2.998724600E1,3.144167434E1,3.073393626E2,3.243640949E2,0.000000000E0,1.318683087E2,1.249975434E-1,6.904139990E0,3.786856371E0,-1.000000000E0
8.652781498E1,2.998724600E1,3.144167434E1,3.073393626E2,3.243640949E2,0.000000000E0,1.318683087E2,1.249975434E-1,6.907985438E0,3.593321359E0,-1.000000000E0
8.752781749E1,2.998724600E1,3.144167434E1,3.073393626E2,3.243640949E2,0.000000000E0,1.318683087E2,1.257810937E-1,6.739698276E0,3.584993047E0,-1.000000000E0
8.852781951E1,2.998724004E1,3.144167000E1,3.072700801E2,3.242948213E2,0.000000000E0,1.318683074E2,1.262190874E-1,6.605588049E0,3.342540164E0,-1.000000000E0
8.952782202E1,2.998723669E1,3.144166759E1,3.074542899E2,3.244790361E2,0.000000000E0,1.318683067E2,1.262190874E-1,6.518375226E0,3.222876316E0,-1.000000000E0
9.052782285E1,2.998723669E1,3.144166759E1,3.074542899E2,3.244790361E2,0.000000000E0,1.318683067E2,1.262190874E-1,6.502141494E0,3.304447639E0,-1.000000000E0
9.152782559E1,2.998723669E1,3.144166759E1,3.074542899E2,3.244790361E2,0.000000000E0,1.318683067E2,1.262190874E-1,6.457534125E0,3.208814992E0,-1.000000000E0
9.252782774E1,2.998723669E1,3.144166759E1,3.074542899E2,3.244790361E2,0.000000000E0,1.318683067E2,1.262190874E-1,6.302916020E0,3.121120045E0,-1.000000000E0
9.352782953E1,2.998723669E1,3.144166759E1,3.074542899E2,3.244790361E2,0.000000000E0,1.318683067E2,1.262190874E-1,6.237745486E0,3.126305488E0,-1.000000000E0
9.452783203E1,2.998723669E1,3.144166759E1,3.074542899E2,3.244790361E2,0.000000000E0,1.318683067E2,1.262190874E-1,6.531267929E0,3.195537292E0,-1.000000000E0
9.552783394E1,2.998723669E1,3.144166759E1,3.074542899E2,3.244790361E2,0.000000000E0,1.318683067E2,1.262190874E-1,6.951464958E0,3.478883978E0,-1.000000000E0
9.652783585E1,2.998723669E1,3.144166759E1,3.074542899E2,3.244790361E2,0.000000000E0,1.318683067E2,1.279302226E-1,7.053609070E0,3.483960261E0,-1.000000000E0
9.752783811E1,2.998724102E1,3.144165054E1,3.072836321E2,3.243083614E2,0.000000000E0,1.318682990E2,1.283489896E-1,6.873963326E0,3.000000000E0,-1.000000000E0
9.852784014E1,2.998724352E1,3.144165380E1,3.074346149E2,3.244593412E2,0.000000000E0,1.318683001E2,1.291960852E-1,6.749298410E0,3.000000000E0,-1.000000000E0
9.952784193E1,2.998724062E1,3.144166193E1,3.072280845E2,3.242528204E2,2.852931311E-1,1.318683039E2,1.295820442E-1,6.525399587E0,3.003347884E0,-1.000000000E0
1.005278448E2,2.998724276E1,3.144166509E1,3.074494725E2,3.244742060E2,1.385270910E-2,1.318683051E2,1.310672790E-1,6.458023774E0,3.207358030E0,-1.000000000E0
1.015278465E2,2.998723501E1,3.144165253E1,3.075585365E2,3.245832781E2,0.000000000E0,1.318683004E2,1.315437408E-1,6.816819090E0,3.588355917E0,-1.000000000E0
1.025278484E2,2.998723272E1,3.144164835E1,3.077491715E2,3.247739153E2,1.086677450E-2,1.318682988E2,1.315569330E-1,7.039094712E0,3.794617286E0,-1.000000000E0
1.035278505E2,2.998723281E1,3.144164825E1,3.077516123E2,3.247763558E2,0.000000000E0,1.318682987E2,1.315569330E-1,7.248463358E0,3.942204890E0,-1.000000000E0
1.045278528E2,2.998723281E1,3.144164825E1,3.077516123E2,3.247763558E2,0.000000000E0,1.318682987E2,1.315569330E-1,7.529100415E0,4.150669527E0,-1.000000000E0
1.055278550E2,2.998723281E1,3.144164825E1,3.077516123E2,3.247763558E2,0.000000000E0,1.318682987E2,1.315569330E-1,7.671763274E0,4.304807716E0,-1.000000000E0
1.065278571E2,2.998723281E1,3.144164825E1,3.077516123E2,3.247763558E2,0.000000000E0,1.318682987E2,1.315569330E-1,8.070540599E0,4.500271898E0,-1.000000000E0
1.075278590E2,2.998723281E1,3.144164825E1,3.077516123E2,3.247763558E2,0.000000000E0,1.318682987E2,1.325332630E-1,8.411525674E0,4.799020167E0,-1.000000000E0
1.085278610E2,2.998723620E1,3.144163890E1,3.082820992E2,3.253068316E2,8.879621721E-2,1.318682944E2,1.325752658E-1,8.556050946E0,5.108365815E0,-1.000000000E0
1.095278627E2,2.998723644E1,3.144163856E1,3.082877358E2,3.253124676E2,0.000000000E0,1.318682942E2,1.325752658E-1,8.690156210E0,5.116742813E0,-1.000000000E0
1.105278658E2,2.998723644E1,3.144163856E1,3.082877358E2,3.253124676E2,0.000000000E0,1.318682942E2,1.325752658E-1,9.168848563E0,5.438743952E0,-1.000000000E0
1.115278674E2,2.998723644E1,3.144163856E1,3.082877358E2,3.253124676E2,0.000000000E0,1.318682942E2,1.325752658E-1,9.166909894E0,5.383772805E0,-1.000000000E0
1.125278698E2,2.998723644E1,3.144163856E1,3.082877358E2,3.253124676E2,0.000000000E0,1.318682942E2,1.325752658E-1,9.335631912E0,5.502648406E0,-1.000000000E0
1.135278715E2,2.998723644E1,3.144163856E1,3.082877358E2,3.253124676E2,0.000000000E0,1.318682942E2,1.325752658E-1,9.463844167E0,5.629866485E0,-1.000000000E0
1.145278735E2,2.998723644E1,3.144163856E1,3.082877358E2,3.253124676E2,0.000000000E0,1.318682942E2,1.325752658E-1,9.599519721E0,5.714691067E0,-1.000000000E0
1.155278763E2,2.998723644E1,3.144163856E1,3.082877358E2,3.253124676E2,0.000000000E0,1.318682942E2,1.330352353E-1,9.484713616E0,5.648266695E0,-1.000000000E0
1.165278777E2,2.998723242E1,3.144163973E1,3.082494709E2,3.252742108E2,2.202481690E-1,1.318682951E2,1.333389401E-1,9.862719837E0,6.097618263E0,-1.000000000E0
1.175278802E2,2.998723404E1,3.144163719E1,3.081527340E2,3.251774696E2,9.222412092E-2,1.318682939E2,1.333551921E-1,9.753532594E0,5.866916985E0,-1.000000000E0
1.185278826E2,2.998723407E1,3.144163702E1,3.081183335E2,3.251430689E2,0.000000000E0,1.318682938E2,1.335953182E-1,1.044728778E1,6.022992358E0,-1.000000000E0
1.195278839E2,2.998723583E1,3.144163557E1,3.077352878E2,3.247600191E2,5.459060132E-2,1.318682930E2,1.337483513E-1,1.050736646E1,6.271335705E0,-1.000000000E0
1.205278864E2,2.998723641E1,3.144163414E1,3.077722523E2,3.247969818E2,3.480023994E-2,1.318682923E2,1.344539401E-1,1.090574112E1,6.157214792E0,-1.000000000E0
1.215278879E2,2.998723523E1,3.144164133E1,3.075752719E2,3.246000073E2,1.316373921E-1,1.318682955E2,1.359596988E-1,1.118749346E1,6.378366066E0,-1.000000000E0
1.225278903E2,2.998722782E1,3.144165442E1,3.074929124E2,3.245176684E2,2.615270817E-1,1.318683018E2,1.362202833E-1,1.158462698E1,6.927072215E0,-1.000000000E0
1.235278927E2,2.998722985E1,3.144165577E1,3.072292417E2,3.242539946E2,2.529924417E-2,1.318683022E2,1.368359198E-1,1.192941794E1,6.614954435E0,-1.000000000E0
1.245278947E2,2.998723235E1,3.144166148E1,3.072883672E2,3.243131184E2,5.722778939E-2,1.318683044E2,1.369760674E-1,1.189877321E1,7.168022413E0,-1.000000000E0
1.255278966E2,2.998723134E1,3.144166060E1,3.070489314E2,3.240736840E2,0.000000000E0,1.318683042E2,1.369760674E-1,1.199850684E1,7.083946799E0,-1.000000000E0
1.265278988E2,2.998723134E1,3.144166060E1,3.070489314E2,3.240736840E2,0.000000000E0,1.318683042E2,1.369760674E-1,1.203989571E1,7.156563639E0,-1.000000000E0
1.275279012E2,2.998723134E1,3.144166060E1,3.070489314E2,3.240736840E2,0.000000000E0,1.318683042E2,1.369760674E-1,1.215038121E1,7.305834111E0,-1.000000000E0
1.285279034E2,2.998723134E1,3.144166060E1,3.070489314E2,3.240736840E2,0.000000000E0,1.318683042E2,1.369760674E-1,1.211706384E1,7.371328079E0,-1.000000000E0
1.295279052E2,2.998723134E1,3.144166060E1,3.070489314E2,3.240736840E2,0.000000000E0,1.318683042E2,1.369760674E-1,1.193698646E1,7.454997227E0,-1.000000000E0
1.305279077E2,2.998723134E1,3.144166060E1,3.070489314E2,3.240736840E2,0.000000000E0,1.318683042E2,1.369760674E-1,1.191935726E1,7.590920181E0,-1.000000000E0
1.315279094E2,2.998723134E1,3.144166060E1,3.070489314E2,3.240736840E2,0.000000000E0,1.318683042E2,1.394641793E-1,1.183271445E1,7.566638650E0,-1.000000000E0
1.325279088E2,2.998724638E1,3.144167974E1,3.073917285E2,3.244164628E2,8.026957808E-2,1.318683110E2,1.402135838E-1,1.178034237E1,7.685260765E0,-1.000000000E0
