"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.460970529E2,2.998867964E1,3.144162372E1,3.141406946E2,3.311627224E2,3.666147584E0,2.361585834E2,1.290796515E0,9.935045349E0,6.982898014E0,-1.000000000E0
1.470970522E2,2.998866513E1,3.144159077E1,3.136320783E2,3.306541164E2,3.356131085E0,2.347743276E2,1.295031639E0,1.001436317E1,6.971385488E0,-1.000000000E0
1.480970484E2,2.998865094E1,3.144154997E1,3.139600798E2,3.309821235E2,3.715040714E0,2.415450269E2,1.299286692E0,1.012517644E1,7.022467446E0,-1.000000000E0
1.490970442E2,2.998863939E1,3.144150785E1,3.139325993E2,3.309546430E2,4.064559450E0,2.482068725E2,1.303039452E0,1.041006765E1,7.280049371E0,-1.000000000E0
1.500970416E2,2.998862696E1,3.144147162E1,3.138384913E2,3.308605396E2,4.074709200E0,2.526151255E2,1.306539747E0,1.031250779E1,7.175764985E0,-1.000000000E0
1.510970381E2,2.998861725E1,3.144143705E1,3.137455980E2,3.307676468E2,3.917122161E0,2.551012824E2,1.310073985E0,1.021325095E1,7.065725462E0,-1.000000000E0
1.520970361E2,2.998860507E1,3.144140315E1,3.140482045E2,3.310702587E2,3.820706866E0,2.550254675E2,1.313633280E0,1.011179651E1,6.987379285E0,-1.000000000E0
1.530970331E2,2.998859122E1,3.144136983E1,3.142671341E2,3.312891971E2,3.707271667E0,2.527168777E2,1.317576930E0,9.944428213E0,6.754843514E0,-1.000000000E0
1.540970303E2,2.998858030E1,3.144133088E1,3.141014143E2,3.311234778E2,3.675028110E0,2.517306266E2,1.321320258E0,1.005875245E1,6.904026223E0,-1.000000000E0
1.550970284E2,2.998856638E1,3.144129548E1,3.143777880E2,3.313998593E2,3.670074295E0,2.496402313E2,1.324827833E0,9.874364419E0,6.870697006E0,-1.000000000E0
1.560970262E2,2.998855391E1,3.144126203E1,3.146228040E2,3.316448816E2,3.636394970E0,2.479813670E2,1.328501429E0,9.903745019E0,6.879179111E0,-1.000000000E0
1.570970238E2,2.998854073E1,3.144122705E1,3.146933533E2,3.317154376E2,3.685239306E0,2.468389222E2,1.332272660E0,9.842839854E0,6.806952509E0,-1.000000000E0
1.580970222E2,2.998852668E1,3.144119141E1,3.145799210E2,3.316020133E2,3.739325832E0,2.458860308E2,1.335991227E0,9.602723329E0,6.671633305E0,-1.000000000E0
1.590970199E2,2.998850794E1,3.144115944E1,3.147368905E2,3.317590015E2,3.719365393E0,2.425051042E2,1.339605329E0,9.620596210E0,6.683577609E0,-1.000000000E0
1.600970186E2,2.998849376E1,3.144112567E1,3.149821705E2,3.320042907E2,3.642091630E0,2.429470824E2,1.343373276E0,9.487015671E0,6.577155142E0,-1.000000000E0
