"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.953864491E1,2.998696266E1,3.144132429E1,3.070243783E2,3.240494609E2,0.000000000E0,NaN,5.103463934E-2,4.873945582E0,3.173198938E0,-1.000000000E0
6.053864098E1,2.998696266E1,3.144132429E1,3.070243783E2,3.240494609E2,0.000000000E0,3.274371964E2,5.667625454E-2,4.865874947E0,3.185560866E0,-1.000000000E0
6.153863800E1,2.998700595E1,3.144135484E1,3.078084172E2,3.248334345E2,0.000000000E0,NaN,5.667625454E-2,4.868721787E0,3.181208134E0,-1.000000000E0
6.253863358E1,2.998700595E1,3.144135484E1,3.078084172E2,3.248334345E2,0.000000000E0,NaN,5.717198403E-2,4.859777387E0,3.194855361E0,-1.000000000E0
6.353863049E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.855583972E0,3.201224972E0,-1.000000000E0
6.453862691E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.851594659E0,3.207267732E0,-1.000000000E0
6.553862321E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.848341155E0,3.212183848E0,-1.000000000E0
6.653861964E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.846730111E0,3.214614171E0,-1.000000000E0
6.753861642E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.844915397E0,3.217348572E0,-1.000000000E0
6.853861272E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.843811496E0,3.219010287E0,-1.000000000E0
6.953860939E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.841477755E0,3.222519229E0,-1.000000000E0
7.053860545E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.840238832E0,3.224379797E0,-1.000000000E0
7.153860283E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.838252983E0,3.227358844E0,-1.000000000E0
7.253859842E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.834314993E0,3.233254642E0,-1.000000000E0
7.353859508E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.832092622E0,3.236575030E0,-1.000000000E0
7.453859210E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.829513419E0,3.240422375E0,-1.000000000E0
7.553858829E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.826456500E0,3.244973757E0,-1.000000000E0
7.653858447E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.825330916E0,3.246647283E0,-1.000000000E0
7.753858125E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.824765224E0,3.247487886E0,-1.000000000E0
7.853857744E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.824358089E0,3.248092680E0,-1.000000000E0
7.953857398E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.820634283E0,3.253616779E0,-1.000000000E0
8.053857088E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.820436448E0,3.253909876E0,-1.000000000E0
8.153856754E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.820380214E0,3.253993181E0,-1.000000000E0
8.253856325E1,2.998701024E1,3.144135624E1,3.078805868E2,3.249055968E2,0.000000000E0,NaN,5.717198403E-2,4.821050993E0,3.252999287E0,-1.000000000E0
