"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.187339571E1,2.998734610E1,3.144115486E1,3.142727176E2,3.312969971E2,3.609999895E0,2.728999939E2,4.720748552E-1,3.790092468E0,2.500000000E0,3.400000000E1
5.287311170E1,2.998734668E1,3.144111857E1,3.143340776E2,3.313583374E2,3.490000010E0,2.717999878E2,4.754370407E-1,3.790092468E0,2.500000000E0,3.300000000E1
5.387379123E1,2.998734674E1,3.144108366E1,3.144354750E2,3.314597168E2,3.309999943E0,2.710000000E2,4.786827930E-1,3.790092468E0,2.500000000E0,3.300000000E1
5.487361894E1,2.998734599E1,3.144104997E1,3.144546558E2,3.314788818E2,3.230000019E0,2.695000000E2,4.818779780E-1,3.790092468E0,2.500000000E0,3.100000000E1
5.587338831E1,2.998734544E1,3.144101680E1,3.145526332E2,3.315768433E2,3.200000048E0,2.697000122E2,4.847530922E-1,3.790092468E0,2.500000000E0,3.100000000E1
5.687323555E1,2.998734509E1,3.144098695E1,3.147098134E2,3.317340088E2,2.730000019E0,2.696000061E2,4.868512032E-1,3.790092468E0,2.500000000E0,3.100000000E1
5.787367524E1,2.998734439E1,3.144096518E1,3.148886562E2,3.319128418E2,1.700000048E0,2.688999939E2,4.883676132E-1,3.790092468E0,2.500000000E0,2.300000000E1
5.887301545E1,2.998734325E1,3.144094949E1,3.148922021E2,3.319163818E2,1.429999948E0,2.681000061E2,4.894318430E-1,3.790092468E0,2.500000000E0,1.800000000E1
5.987288529E1,2.998734328E1,3.144093844E1,3.149295614E2,3.319537354E2,8.600000143E-1,2.690000000E2,4.902283756E-1,3.790092468E0,2.500000000E0,1.700000000E1
6.087316774E1,2.998734336E1,3.144093017E1,3.152463382E2,3.322705078E2,7.900000215E-1,2.717000122E2,4.911573630E-1,3.790092468E0,2.500000000E0,1.800000000E1
6.187340326E1,2.998734307E1,3.144092053E1,3.154072313E2,3.324313965E2,9.200000167E-1,2.715000000E2,4.919171989E-1,3.790092468E0,2.500000000E0,1.700000000E1
6.287456232E1,2.998734259E1,3.144091266E1,3.152231524E2,3.322473145E2,7.599999905E-1,2.713999939E2,4.925645948E-1,3.790092468E0,2.500000000E0,1.600000000E1
6.387360628E1,2.998734163E1,3.144090603E1,3.153587741E2,3.323829346E2,7.500000000E-1,2.702000122E2,4.928364346E-1,3.790092468E0,2.500000000E0,1.300000000E1
6.487366513E1,2.998733931E1,3.144090514E1,3.152450007E2,3.322691650E2,0.000000000E0,NaN,4.930296849E-1,3.790092468E0,2.500000000E0,1.600000000E1
6.587334195E1,2.998733777E1,3.144090421E1,3.151812776E2,3.322054443E2,0.000000000E0,NaN,4.931280143E-1,3.790092468E0,2.500000000E0,1.500000000E1
6.687329138E1,2.998733717E1,3.144090346E1,3.151774926E2,3.322016602E2,0.000000000E0,NaN,4.944682918E-1,3.790092468E0,2.500000000E0,1.500000000E1
6.787315237E1,2.998733804E1,3.144088958E1,3.145728261E2,3.315969849E2,1.889999986E0,2.707000122E2,4.957789822E-1,3.790092468E0,2.500000000E0,1.500000000E1
6.887358279E1,2.998733978E1,3.144087612E1,3.146756805E2,3.316998291E2,1.049999952E0,2.751000061E2,4.967394141E-1,3.790092468E0,2.500000000E0,1.500000000E1
6.987369070E1,2.998734292E1,3.144086683E1,3.144918532E2,3.315159912E2,8.899999857E-1,2.716000061E2,4.976162834E-1,3.790092468E0,2.500000000E0,1.600000000E1
7.087386081E1,2.998734491E1,3.144085802E1,3.146213780E2,3.316455078E2,8.100000024E-1,2.716000061E2,4.986600992E-1,3.790092468E0,2.500000000E0,1.400000000E1
7.187309685E1,2.998734706E1,3.144084747E1,3.145412483E2,3.315653687E2,1.110000014E0,2.785000000E2,4.999614269E-1,3.790092468E0,2.500000000E0,1.400000000E1
